date_iso,date_human,title,company,location,apply,source,department
2025-08-14,"Aug 14, 2025",Product Designer II - Consumer,coinbase,Remote - USA,https://www.coinbase.com/careers/positions/5959810?gh_jid=5959810,greenhouse,
2025-08-14,"Aug 14, 2025",Data Scientist II,coinbase,Remote - Canada,https://www.coinbase.com/careers/positions/5644289?gh_jid=5644289,greenhouse,
2025-08-14,"Aug 14, 2025",Data Scientist II,coinbase,Remote - USA,https://www.coinbase.com/careers/positions/5090295?gh_jid=5090295,greenhouse,
2025-08-14,"Aug 14, 2025",Corporate Account Executive,asana,San Francisco,https://www.asana.com/jobs/apply/6981655?gh_jid=6981655,greenhouse,
2025-08-13,"Aug 13, 2025",Traffic Engineering Manager,roblox,"San Mateo, CA, United States",https://careers.roblox.com/jobs/6948080?gh_jid=6948080,greenhouse,
2025-08-13,"Aug 13, 2025",Supply Chain Manager - Server Hardware ,roblox,"San Mateo, CA, United States",https://careers.roblox.com/jobs/6983045?gh_jid=6983045,greenhouse,
2025-08-13,"Aug 13, 2025","Staff Software Engineer, Ads",discord,San Francisco Bay Area,https://job-boards.greenhouse.io/discord/jobs/8101803002,greenhouse,
2025-08-13,"Aug 13, 2025",Sr. Talent Research Specialist,roblox,India,https://careers.roblox.com/jobs/5544468?gh_jid=5544468,greenhouse,
2025-08-13,"Aug 13, 2025","Software Engineer, Storage",roblox,"San Mateo, CA, United States",https://careers.roblox.com/jobs/7138941?gh_jid=7138941,greenhouse,
2025-08-13,"Aug 13, 2025","Software Engineer, Site Reliability",roblox,"San Mateo, CA, United States",https://careers.roblox.com/jobs/7099864?gh_jid=7099864,greenhouse,
2025-08-13,"Aug 13, 2025","Software Engineer, Engineering Efficiency Foundations",roblox,"San Mateo, CA, United States",https://careers.roblox.com/jobs/7158404?gh_jid=7158404,greenhouse,
2025-08-13,"Aug 13, 2025",Senior Workforce Manager ,roblox,"San Mateo, CA, United States",https://careers.roblox.com/jobs/7114340?gh_jid=7114340,greenhouse,
2025-08-13,"Aug 13, 2025",Senior Workday Integration Engineer,roblox,"San Mateo, CA, United States",https://careers.roblox.com/jobs/7078634?gh_jid=7078634,greenhouse,
2025-08-13,"Aug 13, 2025","Senior Technical Director, Content Platform",roblox,"San Mateo, CA, United States",https://careers.roblox.com/jobs/6996979?gh_jid=6996979,greenhouse,
2025-08-13,"Aug 13, 2025","Senior Software Engineer, Virtual Economy Optimization (C++)",roblox,"San Mateo, CA, United States",https://careers.roblox.com/jobs/7031559?gh_jid=7031559,greenhouse,
2025-08-13,"Aug 13, 2025","Senior Software Engineer, Mobile UX (Android)",roblox,"San Mateo, CA, United States",https://careers.roblox.com/jobs/6720955?gh_jid=6720955,greenhouse,
2025-08-13,"Aug 13, 2025","Senior Software Engineer, Frontend - Developer Experience, Mobile",coinbase,Remote - USA,https://www.coinbase.com/careers/positions/7165070?gh_jid=7165070,greenhouse,
2025-08-13,"Aug 13, 2025","Senior Software Engineer, Chat - Frontend",roblox,"San Mateo, CA, United States",https://careers.roblox.com/jobs/7086006?gh_jid=7086006,greenhouse,
2025-08-13,"Aug 13, 2025","Senior Software Engineer, Ads Measurement ",roblox,"San Mateo, CA, United States",https://careers.roblox.com/jobs/7057240?gh_jid=7057240,greenhouse,
