date_iso,date_human,title,company,location,apply,source,department
2025-09-25,"Sep 25, 2025","Staff Machine Learning Engineer, Applied AI Platform",block,"Bay Area, CA, United States of America",http://block.xyz/careers/jobs/4885138008?gh_jid=4885138008,greenhouse,
2025-09-25,"Sep 25, 2025","Staff iOS Engineer, Square Staff",block,"Bay Area, CA, United States of America",http://block.xyz/careers/jobs/4923384008?gh_jid=4923384008,greenhouse,
2025-09-25,"Sep 25, 2025","Staff iOS Engineer, Food & Beverage Point of Sale Operations",block,"New York, NY, United States of America",http://block.xyz/careers/jobs/4893123008?gh_jid=4893123008,greenhouse,
2025-09-25,"Sep 25, 2025","Staff iOS Engineer, Food & Beverage Point of Sale Operations",block,"Bay Area, CA, United States of America",http://block.xyz/careers/jobs/4893021008?gh_jid=4893021008,greenhouse,
2025-09-25,"Sep 25, 2025",Staff Information Systems Architect - Oracle Financials,block,"Bay Area, CA, United States of America",http://block.xyz/careers/jobs/4888465008?gh_jid=4888465008,greenhouse,
2025-09-25,"Sep 25, 2025","Staff Frontend Software Engineer, Square Enterprise",block,"Boston, MA, United States of America",http://block.xyz/careers/jobs/4881430008?gh_jid=4881430008,greenhouse,
2025-09-25,"Sep 25, 2025","Staff Frontend Engineer, Growth Monetization Web",block,"Bay Area, CA, United States of America",http://block.xyz/careers/jobs/4875776008?gh_jid=4875776008,greenhouse,
2025-09-25,"Sep 25, 2025","Staff Frontend Engineer, Activation and Engagement Web (Growth)",block,"Bay Area, CA, United States of America",http://block.xyz/careers/jobs/4836471008?gh_jid=4836471008,greenhouse,
2025-09-25,"Sep 25, 2025","Staff Data Scientist, Cash App Lending",block,"Bay Area, CA, United States of America",http://block.xyz/careers/jobs/4885113008?gh_jid=4885113008,greenhouse,
2025-09-25,"Sep 25, 2025","Staff Data Engineer, Compliance Engineering & Technology",block,"Bay Area, CA, United States of America",http://block.xyz/careers/jobs/4908003008?gh_jid=4908003008,greenhouse,
2025-09-25,"Sep 25, 2025","Staff Android Engineer, Square Kitchen Display System",block,"Bay Area, CA, United States of America",http://block.xyz/careers/jobs/4830959008?gh_jid=4830959008,greenhouse,
2025-09-25,"Sep 25, 2025","Staff Android Engineer, Retail",block,"New York, NY, United States of America",http://block.xyz/careers/jobs/4930331008?gh_jid=4930331008,greenhouse,
2025-09-25,"Sep 25, 2025","Staff Android Engineer, Retail",block,"Bay Area, CA, United States of America",http://block.xyz/careers/jobs/4930253008?gh_jid=4930253008,greenhouse,
2025-09-25,"Sep 25, 2025","Staff Android Engineer, Food & Beverage Order Entry Mobile",block,"Bay Area, CA, United States of America",http://block.xyz/careers/jobs/4831078008?gh_jid=4831078008,greenhouse,
2025-09-25,"Sep 25, 2025","Staff Android Engineer, Food & Beverage - Printing",block,"Bay Area, CA, United States of America",http://block.xyz/careers/jobs/4831064008?gh_jid=4831064008,greenhouse,
2025-09-25,"Sep 25, 2025","Staff Android Engineer, Food & Beverage - Printing",block,"New York, NY, United States of America",http://block.xyz/careers/jobs/4893197008?gh_jid=4893197008,greenhouse,
2025-09-25,"Sep 25, 2025",Solutions Engineer,block,"Bay Area, CA, United States of America",http://block.xyz/careers/jobs/4684349008?gh_jid=4684349008,greenhouse,
2025-09-25,"Sep 25, 2025",Solutions Engineer,block,"New York, NY, United States of America",http://block.xyz/careers/jobs/4918639008?gh_jid=4918639008,greenhouse,
